Ucitavam podatke iz 1d0nA.pdb...
Ucitavam podatke iz 2d8bA.pdb...
Najbolja teoretska energija: -727272
1. Best = -1246.12; Curr = -1246.12; Neigh = -0; Temp = 10000
87. Best = -161276; Curr = -161276; Neigh = -161132; Temp = 1.16106
88. Best = -161276; Curr = -161276; Neigh = -161271; Temp = 1.04496
89. Best = -161276; Curr = -161276; Neigh = -160742; Temp = 0.940461
90. Best = -161276; Curr = -161276; Neigh = -161115; Temp = 0.846415
91. Best = -161276; Curr = -161276; Neigh = -161155; Temp = 0.761773
92. Best = -161276; Curr = -161276; Neigh = -160963; Temp = 0.685596
93. Best = -161276; Curr = -161276; Neigh = -161040; Temp = 0.617037
94. Best = -161276; Curr = -161276; Neigh = -161210; Temp = 0.555333
95. Best = -161276; Curr = -161276; Neigh = -161235; Temp = 0.4998
96. Best = -161276; Curr = -161276; Neigh = -160998; Temp = 0.44982
97. Best = -161276; Curr = -161276; Neigh = -160815; Temp = 0.404838
98. Best = -161276; Curr = -161276; Neigh = -161287; Temp = 0.364354
99. Best = -161287; Curr = -161287; Neigh = -157807; Temp = 0.327919
100. Best = -161287; Curr = -161287; Neigh = -159944; Temp = 0.295127
Konacna najbolja energija = -161287
Vrijeme = 482.32s
Press any key to continue . . .
