Ucitavam podatke iz 1a0iA.pdb...
Rotiram ulazni niz...
Najbolja teoretska energija: -330669
1. Best = -17790.2; Curr = -17790.2; Neigh = -37075.7; Temp = 10000
88. Best = -330664; Curr = -330656; Neigh = -330637; Temp = 1.04496
89. Best = -330664; Curr = -330656; Neigh = -330622; Temp = 0.940461
90. Best = -330664; Curr = -330656; Neigh = -330648; Temp = 0.846415
91. Best = -330664; Curr = -330656; Neigh = -330113; Temp = 0.761773
92. Best = -330664; Curr = -330656; Neigh = -330623; Temp = 0.685596
93. Best = -330664; Curr = -330656; Neigh = -330641; Temp = 0.617037
94. Best = -330664; Curr = -330656; Neigh = -330638; Temp = 0.555333
95. Best = -330664; Curr = -330656; Neigh = -330646; Temp = 10000
96. Best = -330664; Curr = -330656; Neigh = -330631; Temp = 9000
97. Best = -330664; Curr = -330631; Neigh = -330649; Temp = 8100
98. Best = -330664; Curr = -330649; Neigh = -330656; Temp = 7290
99. Best = -330664; Curr = -330656; Neigh = -330610; Temp = 6561
100. Best = -330664; Curr = -330656; Neigh = -330627; Temp = 5904.9
Konacna najbolja energija = -330664
Vrijeme = 299.04s
Press any key to continue . . .
